path,role,bytes,sha256
notebooks/preparation/04_metric_derivation.qmd,source_at_failed_visual,80557,86041585edfb60ba0f3137d268418e7479b369be859b41350d2347bd81e064a6
_quarto-nathealth.yml,accepted_profile_configuration,7404,5ccd16b064bfddd4777dd169720d89d42603bc1e2ddc8d6b0cb83c4cdefe3565
tests/test_preparation04_report.R,passing_focused_test,13456,8a3caf85f230002c43c7efd46af6f6986dc6611d5e2954fa5f0edd20334b2704
_build/nathealth/notebooks/preparation/04_metric_derivation.html,html_at_failed_visual,558230,fba5e6f81251123b16deb6728321a558c3722c6bc26c4a946edf8712c570dd06
_build/nathealth/notebooks/preparation/04_metric_derivation_files/figure-html/fig-mder-availability-1.png,MDER_figure_at_failed_visual,47303,423cae8946a50bd6e611ff14708b7ff0543546f3fdc9e9fa030ca917838d75ce
audit/preparation_reports/report017_preparation04_testrecovery_final_scoped_verification.csv,final_106_path_gate,34517,bf567104a990cb43e91d9bcb905e5bf6b785add22ee44a55e433d34ff8398c3a
audit/preparation_reports/report017_preparation04_semantic_table_audit.csv,controlling_14_table_audit,2054,e8857f89b12facfaaa6291a932a0cfd6fa1ce500344ff2fc10eedebbacf82c5c
audit/preparation_reports/report017_preparation04_semantic_html_checks.csv,semantic_HTML_audit,565,4537bccc5a9b927daf70868b5e70f4a17845c99fc0e59b09ca3067f96845a2d8
audit/preparation_reports/report017_preparation04_reader_links.csv,reader_link_audit,442,1bee63c918c07a06617399fb8646193b942d1eb42423862a0eb89e72b3893434
audit/preparation_reports/report017_preparation04_desktop_top.png,desktop_overview_evidence,156450,bc0511269d741343870c90e78be717954c48be0a56bec96e7c953305e38514b7
audit/preparation_reports/report017_preparation04_desktop_mder.png,desktop_MDER_evidence,152501,7648d1df9f49c69d4117421f2b3e7ca63bf48199923f348b4f8ac26225b482c4
audit/preparation_reports/report017_preparation04_narrow_top.png,narrow_Mermaid_failure_evidence,101378,2b5ed43e852ab49a9bafe17dc638f23943c791820397b826c3ce8a2cc7f5977c
audit/preparation_reports/report017_preparation04_failed_focused_test_verification.md,first_focused_test_stop,5531,74c62c477ab2acad960b67872f662e12c7a61b27147a6b9387d7f570af9c1a92
audit/preparation_reports/report017_preparation04_failed_focused_test_manifest.csv,first_focused_test_stop_manifest,2066,430625c29f3d79ac009dce1adff127c3cb13556ec5a133939a36f191b3defa6a
audit/preparation_reports/report017_preparation04_second_focused_test_stop.md,second_focused_test_stop,4039,0fd535103ba10999e298ab6f3418871eb5f9aa23e65323e8f846be59cdf726e1
audit/preparation_reports/report017_preparation04_second_focused_test_stop_manifest.csv,second_focused_test_stop_manifest,1661,9de20d2d212dac0049ded995d74da367c426cd43508f208614ff67a6fc84a2b8
audit/preparation_reports/report017_preparation04_failed_visual_verification.md,failed_visual_record,6141,ea98e02fb9296eb13d517964da013ec952edca99ddcb1dbe5fd336c228ba56bd
