path,role,bytes,sha256
audit/report_harmonization/owner_orders/24_preparation06_phase4_render.md,controlling_owner_order,9300,30810c721f19f3de87b31512dbc16bc3b9ff154fb68078de0695468e28355411
audit/preparation_reports/report017_preparation06_fourth_focused_test_stop.md,fourth_focused_test_stop,4747,d59877a901c07cc0d9d54f3f606971b6bda5f13e2a01890a6d324ab4527d9c27
audit/preparation_reports/report017_preparation06_fourth_focused_test_stop_manifest.csv,fourth_focused_test_stop_manifest,2029,c5f635e7a4d78831d64144c7fce0f5c61c5e6350a55866a5612bd8d628f1dc99
notebooks/preparation/06_model_ready_datasets.qmd,unchanged_released_source,87267,2067db45d46b49bec34985f68eb9e10d5e35377548c5103218321261d50f4c5b
_quarto-nathealth.yml,unchanged_released_profile,7404,5ccd16b064bfddd4777dd169720d89d42603bc1e2ddc8d6b0cb83c4cdefe3565
tests/test_preparation06_report.R,authorized_recovered_focused_test,17136,03017c71915194335422f538f72750b914855310f5045d893b71a346961112ec
audit/handoffs/preparation_reports_worker_handoff.md,unchanged_owner_handoff,31435,ae882eb5a3079851d29367ad1883c7a4115edaf8774e3271d69ecf7e90dc4640
_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,unchanged_successful_render,665739,2179253dc28326c0cef4084327e3eb76f755bdc1d493209697da02f5c3855814
_build/nathealth/notebooks/preparation/06_model_ready_datasets_files/figure-html/fig-site-composition-1.png,unchanged_site_composition_figure,224765,058a7d41c484827dd70cf1fc88cece25d225e6715993529165d6ac0b603a59da
artifacts/08_diagnostics/preanalysis_comparison/categorical_levels.csv,unchanged_paired_figure_source_data,21916,809d109d3647ef4ac1798ef9eb59c06e2c7db41f5b9ce1dade4d0a8b583f0a22
audit/preparation_reports/report017_preparation06_semantic_checks.csv,semantic_html_checks,2266,b18223648c1d64f687e688649d3aaef739d5e5bb80e34845580fab2581335691
audit/preparation_reports/report017_preparation06_semantic_table_audit.csv,nineteen_native_gt_table_audit,2959,3d5b8e2ab6b60625f1c3dfdb15a14ede5dabc74032042a387b7eca8e7041289e
audit/preparation_reports/report017_preparation06_reader_links.csv,reader_link_and_fragment_audit,1779,56d7344fd39a699dd0fa77ef47648605143b96a063aa8ff2c62e1fae26460f89
audit/preparation_reports/report017_preparation06_failed_visual_metrics.csv,desktop_and_narrow_visual_metrics,959,887e370200e2224654f6043140ab7a8cb0126045038ad8a85770b6fc00147c47
audit/preparation_reports/report017_preparation06_desktop_top.png,desktop_overview_screenshot,180503,6dbcad2e2d136d4862ff2d8b6ae7f8428ecddbc8dd92bb8d6773aadaf35440f1
audit/preparation_reports/report017_preparation06_narrow_top.png,narrow_unreadable_mermaid_screenshot,106827,c532aede600f973ac91fbb2489473a06e88227f45d1a65a7079177629a2cb337
audit/preparation_reports/report017_preparation06_preqa_build_inventory.csv,preqa_829_file_build_inventory,139058,10db1ea49fe7d940653d61802a85374497c935058968e5c5c6b1f8be6eeb91e6
audit/preparation_reports/report017_preparation06_postqa_build_inventory.csv,postqa_829_file_build_inventory,139058,10db1ea49fe7d940653d61802a85374497c935058968e5c5c6b1f8be6eeb91e6
audit/preparation_reports/report017_preparation06_testrepair4_scoped_verification.csv,preqa_167_unchanged_plus_one_authorized_test_file,53509,e97f564338c458d36af8afba307a601b701a96888033bb011ad50025a0b2947a
audit/preparation_reports/report017_preparation06_postqa_scoped_verification.csv,postqa_167_unchanged_plus_one_authorized_test_file,53509,e97f564338c458d36af8afba307a601b701a96888033bb011ad50025a0b2947a
audit/preparation_reports/report017_preparation06_failed_visual_verification.md,sealed_visual_stop_record,9479,3bde98d63d6652c14e7aca0b73c4b1515d429df8c44dfb7e1c292d916eff59ec
