"page","path","role","source_spec","baseline_bytes","current_bytes","baseline_sha256","current_sha256","exists","bytes_match","sha256_match","status"
"preparation05","artifacts/01_imported/cache/BAUA_light_chest_a69ff3835c2d.RData","accepted_preparation01_manifest_member","artifacts/12_manifests/pinned_downloads.csv",29831102,29831102,"0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6","0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6",TRUE,TRUE,TRUE,"UNCHANGED"
"preparation05","artifacts/01_imported/cache/BAUA_light_glasses_a69ff3835c2d.RData","accepted_preparation01_manifest_member","artifacts/12_manifests/pinned_downloads.csv",27327915,27327915,"ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8","ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8",TRUE,TRUE,TRUE,"UNCHANGED"
"preparation05","artifacts/01_imported/cache/BAUA_sleepdiaries_a69ff3835c2d.RData","accepted_preparation_manifest_member","artifacts/12_manifests/model_input_acquisition.csv",6635,6635,"6ccb699677a438059de4ec4baac6f83ece121cd7f124d0de61554b4be6852f1a","6ccb699677a438059de4ec4baac6f83ece121cd7f124d0de61554b4be6852f1a",TRUE,TRUE,TRUE,"UNCHANGED"
"preparation05","artifacts/01_imported/cache/BAUA_sleepdiaries_a69ff3835c2d.RData","accepted_preparation01_manifest_member","artifacts/12_manifests/pinned_downloads.csv",6635,6635,"6ccb699677a438059de4ec4baac6f83ece121cd7f124d0de61554b4be6852f1a","6ccb699677a438059de4ec4baac6f83ece121cd7f124d0de61554b4be6852f1a",TRUE,TRUE,TRUE,"UNCHANGED"
"preparation05","artifacts/01_imported/cache/BAUA_wearlog_a69ff3835c2d.RData","accepted_preparation01_manifest_member","artifacts/12_manifests/pinned_downloads.csv",5277,5277,"1d737d2349443c11bd661399e4c0ec678dedc17ff826afd9ece03a316497e086","1d737d2349443c11bd661399e4c0ec678dedc17ff826afd9ece03a316497e086",TRUE,TRUE,TRUE,"UNCHANGED"
"preparation05","artifacts/01_imported/cache/FUSPCEU_light_chest_2badb6e3302e.RData","accepted_preparation01_manifest_member","artifacts/12_manifests/pinned_downloads.csv",29210982,29210982,"ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066","ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066",TRUE,TRUE,TRUE,"UNCHANGED"
"preparation05","artifacts/01_imported/cache/FUSPCEU_light_glasses_2badb6e3302e.RData","accepted_preparation01_manifest_member","artifacts/12_manifests/pinned_downloads.csv",29731666,29731666,"5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b","5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b",TRUE,TRUE,TRUE,"UNCHANGED"
"preparation05","artifacts/01_imported/cache/FUSPCEU_sleepdiaries_2badb6e3302e.RData","accepted_preparation_manifest_member","artifacts/12_manifests/model_input_acquisition.csv",7323,7323,"0d4ab12a552fd2e74b5a63dc204c404e9a0f25dbdf8185cd2c2c83ef51ba38cd","0d4ab12a552fd2e74b5a63dc204c404e9a0f25dbdf8185cd2c2c83ef51ba38cd",TRUE,TRUE,TRUE,"UNCHANGED"
"preparation05","artifacts/01_imported/cache/FUSPCEU_sleepdiaries_2badb6e3302e.RData","accepted_preparation01_manifest_member","artifacts/12_manifests/pinned_downloads.csv",7323,7323,"0d4ab12a552fd2e74b5a63dc204c404e9a0f25dbdf8185cd2c2c83ef51ba38cd","0d4ab12a552fd2e74b5a63dc204c404e9a0f25dbdf8185cd2c2c83ef51ba38cd",TRUE,TRUE,TRUE,"UNCHANGED"
"preparation05","artifacts/01_imported/cache/FUSPCEU_wearlog_2badb6e3302e.RData","accepted_preparation01_manifest_member","artifacts/12_manifests/pinned_downloads.csv",3634,3634,"9d2757d092febb667c045f90d631ffa438f95931ad47525fc49c0391df10c4a0","9d2757d092febb667c045f90d631ffa438f95931ad47525fc49c0391df10c4a0",TRUE,TRUE,TRUE,"UNCHANGED"
