path,role,bytes,sha256
audit/report_harmonization/owner_orders/27_preparation07_phase4_render.md,controlling_owner_order,7558,0f0d5570f964d64cdd58897e4e45a5fb96c18f08486b2e29031bb5b1f69fd560
notebooks/preparation/07_example_days.qmd,unchanged_released_source,39361,ded8765f342c5e80ac9f0633b2c4c761dc1860e49af1bb125e0b260ae2b460ae
_quarto-nathealth.yml,unchanged_released_profile,7404,5ccd16b064bfddd4777dd169720d89d42603bc1e2ddc8d6b0cb83c4cdefe3565
tests/test_preparation07_report.R,unchanged_focused_test,11897,958cc944987ffdb062452a06a9ec173af2f78dfa53f962399f53016f9d4ba163
audit/report_harmonization/report014_preparation07_source_test_independent_acceptance.md,source_test_independent_acceptance,5580,3708afb4f5600b6c021a93579179a5bf164f5d7b7bcfca0a0c26d1f6b52ca7ce
audit/report_harmonization/report014_preparation07_source_test_independent_acceptance_manifest.csv,source_test_acceptance_manifest,2355,96481a17ec91de252cbca671cb876466529ace7f8df747b462634985c634c164
audit/reconciliation/preparation07/site_solar_context_equivalence_audit.md,sealed_equivalence_audit,9342,870cbb5d5f9414f61ee7db05b61a12eb51d56c9273e9ae7dfd05094984c47164
audit/reconciliation/preparation07/site_solar_context_equivalence_evidence.csv,sealed_equivalence_evidence,4824,0757fc175c44fd33e9d8b06e4f9352699c18bfe50bbcf1c65d141f3f36a1cb97
audit/reconciliation/preparation07/site_solar_context_equivalence_manifest.csv,sealed_equivalence_manifest,538,01a07b87799faeb8291bb6187ced96ab7abdcf2399ee77c5dcfd19d608b1194c
audit/handoffs/preparation_reports_worker_handoff.md,unchanged_owner_handoff,31435,ae882eb5a3079851d29367ad1883c7a4115edaf8774e3271d69ecf7e90dc4640
renv.lock,unchanged_project_environment_lock,603493,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350
artifacts/12_manifests/prepared_day_showcase_artifacts.csv,unchanged_historical_showcase_manifest,2674,c5ca66b2a6ec4fabbe57d08135db7f365bcd123365caab6c987bcb2b62f7a322
artifacts/06_model_data/context/site_solar_context.rds,unchanged_current_site_context,41068,39ffe488de86f5d7cdc56d65c582c9de31f9054f8565936b4ec74e01491f26d0
