"role","path","sha256","bytes"
"independent_acceptance","audit/report_harmonization/report018_h02_result_independent_acceptance.md","13a5121a00974e7660b7b045319c945e3c84a56a7ea13b2d72e23b16d204ab4d",4454
"owner_completion_record","audit/hypotheses/H02/report017_order33g_result_completion/completion_record.md","39e5f2b4104c83587a8022a196d5eec16b9c7429f910dcc127dbb74284eb3b88",5466
"owner_completion_manifest","audit/hypotheses/H02/report017_order33g_result_completion/owner_evidence_manifest.csv","aa19322c402b9260b6687dc4a65a4b14ac6e761acf5b8fa1edd33d0830e5c0db",13736
"accepted_reader_test","tests/hypotheses/H02/test_h02_reader_report.R","479a702e7c5c52cf85e8591300a30c759da945f4c65ecb28cad67bb2e6752d3f",16545
"accepted_paired_test","tests/hypotheses/H02/test_h02_paired_placement_display.R","873c43f0d863c78c22e3e0635d054f09bc521a24d618afcda134a831ac7e7d8a",3790
"held_preparation_test","tests/hypotheses/H02/test_h02_preparation_report.R","ead7a55246a2625b1382acc302b6004892dbf7f7830285f2bae830cb0859d3f8",14895
"accepted_result_source","notebooks/hypotheses/H02.qmd","4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d",57148
"held_companion_source","audit/hypotheses/H02/H02_analysis_preparation.qmd","92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1",55146
"accepted_result_html","_build/nathealth/notebooks/hypotheses/H02.html","736dc6311e53f2b70349326ce0845cc35d23e3b68c000a300833952e81190dd9",296427
"held_companion_html","_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html","d02a0963d657ab5044ef30b5c081d627f8cb64d5781c7edc1d95d2d58c055dfa",580722
"profile","_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480
"report018_decision","audit/decisions/report_harmonization_render_completion_priority.md","0cb7c62806b40c1702c7fdde994d98090f0fc820abfa32205a8e58e392681ecf",4731
"scheduling_override","audit/report_harmonization/report017_render_completion_scheduling_override.md","117dfedc650dc035b74978a7621cac8ef7bf14c8caf4533d0a94f7fecb1b52e0",2477
"controlling_order","audit/report_harmonization/owner_orders/33g_h02_result_no_rerender_completion.md","dd2762b8b884e88078f05fa71021924f76a4735e0f7c6bcbd496414ac2dc5494",8457
"dispatch_manifest","audit/report_harmonization/report017_h02_order33g_dispatch_manifest.csv","89e351333c0cc5a5eab338a57357441697c77ec6a47f291a507a041d57e245b7",7089
"project_test_results","audit/hypotheses/H02/report017_order33g_result_completion/project_test_results.csv","facf4a0460096311457a70da7b1412d8f9d8204a2d30d344a8857c32a613e0e2",507
"nonvisual_contracts","audit/hypotheses/H02/report017_order33g_result_completion/nonvisual_contracts.csv","f5a81ba6c237ae645e827726f63efd3dbfe51286e26d4d57ac4a5275fc464a1e",1600
"semantic_reversal","audit/hypotheses/H02/report017_order33g_result_completion/semantic_reverse_verification.csv","cf0f0d0ab4c03a914cd8269592a816be1a1e3060cd492b8876b6127a103aa458",571
"reader_link_classification","audit/hypotheses/H02/report017_order33g_result_completion/reader_link_classification.csv","d1fac9037afa6767c29821c71ebb059ceebc5f82744985d1e5ebb20de8ae5649",27327
"visual_qa_summary","audit/hypotheses/H02/report017_order33g_result_completion/visual_qa_summary.csv","f6b308d6a56e6dacb781d4f72503330d23d225c6bb959f02279aa7d716dea121",1679
"loopback_lifecycle","audit/hypotheses/H02/report017_order33g_result_completion/loopback_lifecycle.csv","256322a880ea3803e724c6494b3b758063f5178b04c3e7fd9f62dd76cee5cc55",1060
"accepted_inventory_postvisual","audit/hypotheses/H02/report017_order33g_result_completion/accepted_inventory_postvisual.csv","9fbf8ebdd1c0de12bfb8d4345a86bafdb55c9d2233001c924c6236cf9b60b87a",50084
"build_inventory_postvisual","audit/hypotheses/H02/report017_order33g_result_completion/build_inventory_postvisual.csv","a5c0dcbedd6f01d6f0daf0296e5a960be0b93561017e1915549d7da6def9512a",194713
"desktop_capture","audit/hypotheses/H02/report017_order33g_result_completion/visual_desktop_1440x1000.png","530763020afefcfd235b9b14ec9638716826e2a07e72fc3358d31c4addd70d6f",155266
"narrow_capture","audit/hypotheses/H02/report017_order33g_result_completion/visual_narrow_708x1000.png","2238f7845ee4547dffd3f4d63c48c26b4c9de076d6c90c2732ee008d2f3750dc",69945
"disclosure_capture","audit/hypotheses/H02/report017_order33g_result_completion/visual_disclosures_open.png","7be953d04269be11370a8feec5871b4a5d8242f436dff1000e6526c38ca45f89",175534
"principal_figure_capture","audit/hypotheses/H02/report017_order33g_result_completion/visual_desktop_fig-h02-near-patterns.png","c665d57009666f253366c287aa86db8a655f1db298a08b35d3fb13d438ee3811",134994
