"role","path","sha256","bytes"
"independent_acceptance","audit/report_harmonization/report018_h03_result_independent_acceptance.md","13df2fbabb90976ba06663105fd6474f00cd2a466fbafe5da0167e41524346ed",5360
"independent_visual_qa","audit/report_harmonization/report018_h03_result_independent_visual_qa.csv","2a094d14433c92dca4d8933a5074c35df0e2f77abc51173cf88ef4fd18aefa27",2080
"owner_acceptance","/private/tmp/H03-order40-evidence.ppt6Sa/order40_acceptance.md","d424acbe4ad6eff85b5ae668076eba63ef8f70d70d631f3f3789df1b5a35069a",7465
"controlling_order","audit/report_harmonization/owner_orders/40_h03_result_render.md","cea20a9e42e791a8f6d8c29068b363cd0ed0dfce6b0ea15fdb3d38be9c218dc5",10433
"dispatch_manifest","audit/report_harmonization/report018_h03_result_order40_dispatch_manifest.csv","797136abf58a94041fb243afb44c8769d7ee98100b914ff2ac7b9e25393c7555",3806
"source_acceptance","audit/report_harmonization/report017_h03_order34a_source_independent_acceptance.md","611282cd186a9645936e2f5862f657be380a7259b2717b832edbe818fd835852",2795
"source_acceptance_manifest","audit/report_harmonization/report017_h03_order34a_source_acceptance_manifest.csv","c9ab4292ba18cbc1afae3d4dba80e179307c7f153eb52dded6be1f393111e9be",2787
"accepted_result_source","notebooks/hypotheses/H03.qmd","45ea5a009efd3b451c392dfc23bef584c7b16e087bf4093780b051cfde42ae41",68198
"held_companion_source","audit/hypotheses/H03/H03_analysis_preparation.qmd","59270288388e48ceef880ffa4a2ba0e87b8deeb9a8046b49510c4e525ff8c131",75638
"source_harmonization_test","tests/hypotheses/H03/test_h03_report017_source_harmonization.R","1783acab381999fb123b8a7d11873b42e8b331f0c684ad65585e69ce41febd51",26503
"auxiliary_output_test","tests/hypotheses/H03/test_h03_participant_random_intercept_assessment.R","30fa488114886eb4e9feeccc55f6f752e229585bfc1f2eb5b5a85bfba582bfc8",7568
"handoff","audit/handoffs/H03_worker_handoff.md","49beea589f5709e598975703f2bed4337e203c40a1ec64d4e218be4eda4a6a48",30095
"accepted_result_html","_build/nathealth/notebooks/hypotheses/H03.html","abe4be0b127c66b357eca66ab5e90609e0ac7902ca611c5f0e8a9adf410f2cc1",335521
"held_companion_html","_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html","813492b5b1941716c1996f8a0c1b88c658e6eefb52e2569be62744fe965308bf",900339
"profile","_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480
"semantic_wrapper","scripts/report_harmonization/post_render_gt_html_semantics.R","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205",21453
"semantic_engine","scripts/report_harmonization/repair_gt_html_semantics.R","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1",17747
"semantic_summary","/private/tmp/H03-order40-semantics.nvawK2/gt_html_semantic_post_render_summary.csv","e503cde37e22844a48794333f97a9c1c6ead81bcfc912ca0d069cf3540c9bb64",454
"semantic_ledger","/private/tmp/H03-order40-semantics.nvawK2/001__build__nathealth__notebooks__hypotheses__H03.html_gt_semantic_ledger.csv","09902b925c1193610b1f06c22d587cc039824752e8e594808455c683f818ba8d",165668
"owner_nonvisual_checks","/private/tmp/H03-order40-evidence.ppt6Sa/nonvisual_checks.csv","31c0d0c6359238570c35344774ea9eb58db19c0be7ab2d71826b085311956474",4917
"owner_endpoint_audit","/private/tmp/H03-order40-evidence.ppt6Sa/endpoint_audit.csv","6d27b4a99f6827498b64cea437a15c034e98845e3ab4485760679bbd3f0bd90c",3649
"owner_link_audit","/private/tmp/H03-order40-evidence.ppt6Sa/link_audit.csv","c984ef0b1581fc6ec61ad459ef4e5923cd02e919b28e90f2e940da957db90005",30588
"owner_postqa_build_inventory","/private/tmp/H03-order40-evidence.ppt6Sa/build_inventory_postqa.csv","e117ce0815d61a1a71479f27439defeb08d9e9b5286c3e2b7d5c8ecab09240d2",195306
