run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,analytical_role,inferential_run,metric_order,metric_id,manuscript_name,response_family,response_transform,effect_scale,site,estimate_model_per_point,std_error_model_per_point,conf_low_model_per_point,conf_high_model_per_point,estimate_practical_per_point,conf_low_practical_per_point,conf_high_practical_per_point,estimate_practical_per_sd,conf_low_practical_per_sd,conf_high_practical_per_sd,effect_type,interval_method,slope_status,display_order,display_name,color_hex
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,RISE,-0.011362597881691045,0.01314947620003049,-0.037135097649317404,0.014409901885935314,0.9741759464315521,0.9180469716699472,1.0337366212096148,0.8650735262578337,0.6226980230735037,1.2017899175887168,ratio,wald_normal,PASS,1,Borås (SE),#88CCEE
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,THUAS,-0.009726048302116245,0.020418412511146674,-0.04974540144544576,0.030293304841213273,0.9778538538213096,0.8917735736602749,1.0722432102450425,0.883322402481062,0.5301739890154255,1.4717026540172526,ratio,wald_normal,PASS,2,Delft (NL),#117733
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,BAUA,0.006595139220867868,0.011949911055969153,-0.01682625606728867,0.030016534509024407,1.0153017604618235,0.9619970581363396,1.071560101019334,1.0877673485814512,0.8068359251990358,1.4665160135848327,ratio,wald_normal,PASS,3,Dortmund (DE),#DDCC77
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,MPI,-0.007768314747511964,0.010259586242645544,-0.02787673427937984,0.012340104784355911,0.9822718207377853,0.9378281527411694,1.0288216737739737,0.9056591440522328,0.7007568344112555,1.1704751847258597,ratio,wald_normal,PASS,4,Tübingen (DE),#DDCC77
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,TUM,0.01168994075095733,0.027153511791228394,-0.04152996441363399,0.06490984591554866,1.0272826203586112,0.9088035934421491,1.1612075367063688,1.1608080352648367,0.5887496020931151,2.288706930662684,ratio,wald_normal,PASS,5,Munich (DE),#DDCC77
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,FUSPCEU,-0.030103723033128464,0.011838184486021587,-0.05330613826807158,-0.00690130779818535,0.9330314372509632,0.8844919033604607,0.9842347449322214,0.6811302680584974,0.5066318669941509,0.9157308734209504,ratio,wald_normal,PASS,6,Madrid (ES),#CC6677
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,IZTECH,-0.004126099205246753,0.011369726149562887,-0.026410352972473267,0.018158154561979764,0.9905442944876434,0.9410000511354747,1.0426970733509173,0.9487287664770641,0.7139879141756807,1.2606463701563726,ratio,wald_normal,PASS,7,Izmir (TR),#332288
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,UCR,-0.004248408158289062,0.027003618130888512,-0.05717452714710334,0.04867771083052521,0.9902653699735978,0.8766484572359525,1.11860745875357,0.9472497448821673,0.4822389071449371,1.8606588267455004,ratio,wald_normal,PASS,8,San José (CR),#44AA99
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,1,daily_geometric_mean_medi,Mean melEDI,gaussian,log10_offset_0.1,ratio,KNUST,0.010680001368737584,0.017478107933280286,-0.023576460698395564,0.04493646343587073,1.0248964795662039,0.9471604153526156,1.1090125566915117,1.1459495614072415,0.7402700368823367,1.7739477918355588,ratio,wald_normal,PASS,9,Kumasi (GH),#AA4499
1,main__glasses__all_available,main,Primary dataset,glasses,Near eye,all_available,primary_near_eye,TRUE,2,m10_mean_medi,Brightest 10 h mean,gaussian,log10_offset_0.1,ratio,RISE,-0.03002999400676147,0.018807437479714903,-0.06689189410849143,0.00683190609496849,0.9331898489782842,0.8572512082285114,1.0158554293970483,0.6817711615447261,0.42601960430900754,1.09105757578447,ratio,wald_normal,PASS,1,Borås (SE),#88CCEE
